死亡飞车1,2012年，美国经济状况恶化，犯罪率剧增，已逐步私人化的监狱为谋取暴利不择手段，于是“死亡飞车”比赛应运而生。昔日优秀的赛车手弗兰克（Jason Statham 饰）在工厂里参与了一场工人抗议，结果当天夜里，有人潜入他的家中，杀害了他的妻子，弗兰克却被当做凶手蒙冤入狱。监狱长、死亡飞车比赛的组织者轩尼诗（Joan Allen 饰）要求弗兰克顶替身死的蒙面赛车手科学怪人，并允诺只要弗兰克以科学怪人的身份再赢一场，他即可获得自由。弗兰克与领航员凯丝（Natalie Martinez 饰）进入了这场驾驶改装车并随时会遭遇死亡的疯狂游戏，怎奈他心不在焉的状况下出师不利，弗兰克面临轩尼诗的威胁与陷害，不得不放手一搏……
老潘的归途,罹患肺癌，已至晚期的潘家富在旅行途中认识叛逆的大四女孩小米，二人共同踏上从牡丹江南下临沂的旅程。在旅行中，小米逐渐被阅历丰富的潘家富所影响，体会到了家庭的温暖，与母亲和解；潘家富也被古灵精怪的小米所感染，完成了与旧友言归于好，弥补妻子的心愿以及回到老家临沂解开自己一生最大的心结等愿望。潘家富目睹家乡旧貌换新颜，不再是“荒芜的农村、留守的农村、记忆中的故园“，潘家富终觉此生无憾......
黄飞鸿之英雄有梦,这是黄飞鸿年轻的故事，他注定成为时代的宗师，在武侠世界中一个永恒的传奇。1868年的清末，朝廷腐败让人民生活备受煎熬。在广州，黑虎帮和北海帮子两大恶势力横行于黄埔港。他们以暴力威胁统治在港口的穷苦人民，让他们生活在水深火热之中。外界在看来，黄埔港是个繁荣并充满机会地方，但深入其中，会发现这里其实是人间炼狱。黑虎帮的老板雷公（洪金宝 饰）因一个新兵手下阿飞（彭于晏 饰），以过人身手及胆识直取北海帮子首领的头脑，而让黑虎帮独霸一方，不但靠鸦片赚进大笔银两，更进行着卑鄙的贩卖人口勾当，雷公更视阿飞如己出。其实，阿飞背后另有故事，心中更另有计划。他和肝胆相照的朋友们设了陷阱，救出穷苦的人们，更公开与雷公进行生死决斗。黄埔港终于恢复了和平，也诞生了真正的英雄，这是黄飞鸿故事的开始……
横行霸道,沈越、付晓菲、王佳男、大笑四个在现实生活中各自遇到不同困境和心结的女孩子，为了实现每个人的目的和梦想，她们共同参与一场惊险刺激的大型游戏竞赛“逃出生天”而使四人聚到一起。起初四个女孩儿彼此陌生，从一开始跳伞阶段就意见不统一，导致落地便分道扬镳。中途因为王佳男、大笑、付晓菲三人被敌人所擒，之前脱队的沈越挺身而出疾速营救，使得四个女孩的感情得到了升华。在接下来的比赛过程中，四个女孩经历了抢空投、车战以及狙击战，使得四个女孩逐渐团结起来，最终打开了彼此每个人的心结，携手击败了最强大的劲敌——国服排行榜榜首冠军张英勋。集中体现出了四个女孩每个人的成长以及真正经得起考验的友谊是通过齐心协作来收获的。
如果声音不记得,辛唐拥有通过声音给他人制造快乐的能力，但对同一人使用三次后，性命就会和此人绑定，只有对方开心，辛唐才能活命。偶然，辛唐救下准备自杀的同校网络红人吉择，两人借此绑定。吉择表面开朗，但实际患了抑郁症。辛唐最初为了活下去，费尽心思让吉择开心，而后续也真的投入深情。遗憾辛唐的秘密总会败露，而吉择暗黑的过往也在网络上被人揭开……愿爱情的温暖，能治愈抑郁的青春。
熊出没·原始时代,熊大熊二光头强意外穿越回恢宏的石器时代，在原始部落与猛犸象、剑齿虎等一众奇特生物开启了眼界大开的奇幻之旅！原始时代瑰丽非常却又危机四伏，熊强三人组与一只可爱狼女一路相伴，笑料百出。
僵尸皇帝,一群盗墓贼夜半撬开武宗的坟墓，偷走了镇魂珠。失去镇魂珠，武宗朱厚照变为僵尸从坟墓里爬出。武宗生前好色，死后更是变本加厉，然而夜色之中，一名新婚丧夫的寡妇正为夫君烧纸，武宗色心大发，缓缓接近……
雨夜惊魂,本是一次叫人欢心雀跃的生日会，却成了一场惊悚可怖的雨夜逃生记。有着“阴阳眼”的扣子为摆脱小女鬼的纠缠而误伤了生日的男友，扬长而去。本以为能够顺利逃离魔掌的扣子却被突来起来的一场暴雨困在即将被雨水淹没的桥洞里。不断上升的水位，渗入车内的水，以及锁死的车门，都叫扣子心急如焚。拨通的电话，却无法诉说自己身在何处的扣子已然走在绝望的边缘。死亡...
一吻定情,笨蛋爱上天才，会有结果吗？平凡女孩原湘琴喜欢上了天才少年江直树，在她表白失败准备放弃之际，爸爸居然带着自己搬进了直树家里？！一个猛追，一个猛逃，热闹欢腾的纯真高中生活就此上演。朝夕相处中，直树渐渐被湘琴乐观的无畏精神吸引，他开始怀疑：湘琴究竟是人生偏差、还是自己的命中注定?
佣兵战争2,M国内战失控，叛军引发种族屠杀，国际社会密切关注，但是联合国安理会并未授权军事干预。子安接受委托，任务是率雇佣兵小队深入叛军腹地，找到红十字医疗小组的凌月医生，并将她送抵安全地点。子安率佣兵小队血战丛林，一路闯关拔寨，终于赶到医疗小组驻地，找到凌月。但是凌月坚持：除非把她照看下的70位难民一起带出险境，否则她誓死也不会离开这里。子安在成为佣兵的第一天起，首先学会以任务为重的处事原则，而现在则可能要带上一批与任务无关甚至会彷碍他们顺利完成任务的人，这些训练精良的佣兵必须在天职和道德之间作出选择。子安还未来得及做出决定，新的危机迅速到来。
